HR,emotion_total,emotion_polarity,rating,time_difference,vine,verified_purchase,CLI,group
0,14,4,5,4561,0,1,107.67,1
,9,7,5,4561,1,0,95.89435897,1
,18,0,3,4561,0,1,107.6627586,1
1,13,13,5,4561,0,1,75.35076923,1
,3,3,5,4561,0,1,,1
,5,3,1,4561,0,1,84.14,1
,0,0,5,4562,0,1,107.38,1
,3,3,4,4562,0,1,189.8,1
,0,0,2,4562,0,1,97.84666667,1
1,1,-1,1,4562,0,1,112.7843478,1
0,6,6,5,4562,0,1,30.04,1
,0,0,5,4562,0,1,,1
,11,7,5,4562,0,1,104.3057143,1
,3,3,4,4562,0,1,,1
,0,0,5,4562,0,1,136.98,1
,4,0,5,4562,0,1,178.04,1
,0,0,5,4562,0,1,119.3066667,1
,10,10,5,4562,0,1,91.4975,1
,13,11,5,4563,0,1,95.87833333,1
,6,-2,5,4563,0,1,73.98888889,1
0,5,5,4,4563,0,1,109.44,1
,5,3,5,4563,0,1,97.84666667,1
,1,1,2,4563,0,1,136.98,1
,3,3,4,4563,0,1,89.03777778,1
,5,5,5,4563,0,1,105.6533333,1
,0,0,3,4563,0,1,106.11,1
1,14,10,5,4563,0,1,105.7133333,1
,1,1,4,4563,0,1,77.47111111,1
,0,0,5,4563,0,1,133.94,1
0,7,1,2,4563,0,1,97.86666667,1
,2,2,5,4563,0,1,105.62,1
0.666666667,38,38,4,4564,1,0,70.43354839,1
,3,3,5,4564,0,1,-354.76,1
,0,0,5,4564,0,1,101.76,1
,4,2,5,4564,0,0,102.0989474,1
,0,0,3,4564,0,1,99.57333333,1
0,16,16,3,4564,1,0,95.54531646,1
,0,0,5,4564,0,1,,1
,4,-2,5,4564,0,1,90.00666667,1
,6,6,5,4564,0,1,60.30666667,1
,2,2,5,4564,0,1,133.94,1
,3,3,5,4564,0,1,110.42,1
0,6,6,4,4564,0,1,112.3010526,1
1,2,2,5,4564,0,1,95.89333333,1
0,7,1,5,4565,0,0,84.11652174,1
,3,3,5,4565,0,1,178.04,1
,1,1,4,4565,0,1,136.98,1
,0,0,1,4565,0,1,,1
,2,2,3,4565,0,1,97.84666667,1
1,11,3,1,4565,0,1,117.6082759,1
,0,0,5,4565,0,1,77.47111111,1
,0,0,5,4565,0,1,93.86,1
,35,9,5,4565,1,0,103.4259259,1
0,2,2,5,4565,0,1,30.76,1
,0,0,5,4565,0,1,105.6533333,1
,0,0,5,4565,0,1,125.22,1
0,1,1,1,4565,0,1,112.6914286,1
,10,-2,5,4565,0,0,103.74,1
,6,6,5,4565,0,1,81.07,1
1,0,0,1,4565,0,1,183.92,1
1,0,0,3,4565,0,1,121.3666667,1
,0,0,5,4565,0,1,,1
,6,6,3,4566,0,1,97.20444444,1
,2,2,4,4566,0,1,95.84,1
,0,0,5,4566,0,1,201.56,1
,3,3,5,4566,0,1,,1
,3,3,5,4566,0,1,113.51,1
0,13,5,3,4566,0,1,90.33894737,1
0,5,-1,3,4566,0,1,109.2688889,1
,17,3,4,4566,1,0,119.072,1
,2,2,4,4566,0,1,,1
,3,3,5,4566,0,1,178.04,1
,1,1,4,4566,0,1,98.835,1
,3,3,5,4566,0,1,103.56,1
,1,1,5,4566,0,1,123.2933333,1
,2,2,5,4566,0,1,142.86,1
0.5,4,-2,1,4566,0,1,86.66571429,1
0.888888889,25,21,3,4566,0,1,64.60929293,1
,5,1,1,4566,0,1,70.16,1
1,6,0,2,4566,0,1,89.98,1
,6,6,4,4567,0,1,88.03555556,1
,7,7,5,4567,0,1,103.7066667,1
,6,0,3,4567,0,1,104.7,1
0.666666667,19,7,5,4567,0,1,67.51772727,1
1,1,-1,1,4567,0,1,89.8,1
0,10,10,5,4567,1,0,103.0933333,1
0,19,13,5,4567,1,0,110.575,1
0,3,3,5,4567,0,1,67.59,1
,35,27,5,4568,1,0,59.94627451,1
0.666666667,25,25,5,4568,1,0,51.70524272,1
1,51,41,4,4568,1,0,56.37257143,1
1,4,2,2,4568,0,1,-36.46666667,1
1,2,2,4,4568,0,1,91.06588235,1
,0,0,5,4568,0,1,-11.52,1
0.730769231,20,18,5,4568,1,0,61.69010526,1
,0,0,5,4568,0,1,66.16,1
,0,0,5,4568,0,1,83.7675,1
,0,0,5,4568,0,1,118.64,1
,0,0,4,4568,0,1,,1
0.5,16,8,5,4568,0,1,55.04076923,1
1,3,3,5,4568,0,1,7.04,1
,2,2,5,4569,0,1,89.96307692,1
,2,2,3,4569,0,1,78.12,1
,24,24,5,4569,0,1,80.37761905,1
,2,2,5,4569,0,1,-19.69,1
,2,2,4,4569,0,1,102.5828571,1
,0,0,5,4569,0,1,,1
1,4,4,2,4569,0,1,92.9,1
,0,0,5,4569,0,1,127.08,1
,0,0,5,4569,0,1,95.78666667,1
1,5,5,5,4569,1,0,111.4670968,1
,10,10,5,4570,1,0,98.06875,1
,4,4,5,4570,0,1,96.78333333,1
,3,1,5,4570,0,1,97.22,1
1,2,2,5,4570,0,1,88.92666667,1
0.7,29,25,3,4570,1,0,9.108817204,1
0.5,7,5,3,4570,1,0,61.80484848,1
,0,0,5,4570,0,1,83.09142857,1
0.5,64,60,5,4570,0,0,26.21439024,1
,2,2,5,4570,0,1,-129.17,1
,0,0,5,4570,0,1,171.96,1
1,27,19,4,4570,0,1,110.5434146,1
,3,3,5,4570,0,1,66.08,1
,33,25,5,4571,0,1,83.68054054,1
1,4,4,4,4571,0,1,29.72666667,1
,7,5,5,4571,0,1,102.1914286,1
0.666666667,9,3,3,4571,0,1,107.6442857,1
,6,-4,1,4571,0,1,107.5966667,1
0.259259259,3,3,1,4571,0,1,66.28,1
0,12,12,5,4571,1,0,109.0027273,1
,0,0,4,4571,0,1,,1
,7,3,5,4571,0,1,97.84666667,1
,2,-2,1,4571,0,1,83.7675,1
,7,5,3,4571,0,1,65.52285714,1
,6,6,5,4571,0,1,95.20470588,1
,4,4,5,4572,0,1,107.56,1
,0,0,5,4572,0,1,177.84,1
0,0,0,4,4572,0,1,178.04,1
,0,0,3,4572,0,1,104.7,1
,0,0,5,4572,0,1,85.92,1
,0,0,5,4572,0,1,105.6533333,1
,3,3,4,4572,0,1,121.3666667,1
,3,3,4,4572,0,1,72.24,1
,3,3,5,4572,0,1,136.98,1
0.833333333,8,6,3,4572,0,1,99.37294118,1
,0,0,5,4572,0,1,49.46285714,1
,2,2,5,4572,0,1,136.98,1
,6,6,4,4572,0,1,99.07076923,1
,8,8,5,4572,0,1,111.5,1
,3,3,5,4572,0,1,119.36,1
,4,4,5,4572,0,1,116.35,1
,1,-1,2,4572,0,1,140.9333333,1
,27,23,5,4572,1,0,78.57897436,1
,6,6,5,4572,0,0,54.46,1
1,8,8,2,4572,0,1,94.38814815,1
1,12,12,5,4572,0,1,92.08285714,1
,7,7,5,4572,0,1,70.14,1
,3,3,4,4572,0,1,104.59,1
,1,1,4,4573,0,1,105.6533333,1
,0,0,5,4573,0,1,104.6733333,1
,5,5,5,4573,0,1,129.1733333,1
0,10,6,4,4573,1,0,103.8418605,1
,5,5,5,4573,0,1,103.6666667,1
,12,8,4,4573,0,1,85.87176471,1
0,7,3,2,4573,0,1,85.74,1
,3,3,5,4573,0,1,,1
,0,0,5,4573,0,1,172.16,1
,5,5,5,4573,0,1,107.64,1
,2,2,4,4573,0,1,92.91333333,1
,3,3,5,4573,0,1,101.015,1
1,2,2,5,4573,0,1,80.76,1
,0,0,5,4573,0,1,177.84,1
,0,0,5,4573,0,1,195.68,1
1,12,12,5,1818794,0,1,108.3222222,1
,3,3,4,1818794,0,1,83.09142857,1
,0,0,5,1818794,0,1,116.3,1
,0,0,5,1818794,0,1,178.04,1
,5,5,5,1818794,0,1,113.54,1
,1,-1,5,1818794,0,1,107.64,1
1,3,-3,1,1818794,0,1,101.78,1
,7,7,5,1818794,0,1,92.68545455,1
,4,2,5,1818794,0,1,103.1,1
,2,2,3,1818794,0,1,85.02333333,1
,2,2,5,1818794,0,1,80.82,1
1,14,12,5,1818794,0,1,106.496,1
,6,0,2,1818795,0,1,91.94666667,1
0,7,7,4,1818795,1,0,98.15846154,1
1,0,0,1,1818795,0,1,84.74666667,1
1,2,2,3,1818795,0,1,95.33090909,1
,0,0,1,1818795,0,1,124.72,1
0,13,13,5,1818795,1,0,89.95671233,1
,1,1,5,1818795,0,1,79.14333333,1
,2,2,5,1818795,0,1,95.33090909,1
,7,5,5,1818795,0,1,92.81142857,1
,3,3,5,1818795,0,1,118.84,1
,3,3,5,1818796,0,1,114.8444444,1
1,14,6,2,1818796,0,1,114.8827273,1
,0,0,5,1818796,0,1,-64.84,1
,3,3,4,1818796,0,1,93.19076923,1
,6,6,5,1818796,0,1,104.71,1
,4,2,5,1818796,0,1,104.59,1
1,0,0,5,1818796,0,1,95.88,1
,8,8,5,1818796,0,1,95.87,1
,0,0,4,1818796,0,1,84.08,1
,5,1,2,1818796,0,1,84.14,1
,0,0,5,1818796,0,1,125.1866667,1
,0,0,5,1818796,0,1,154.32,1
,16,16,5,1818796,1,0,107.1363636,1
,2,-2,2,1818796,0,1,100.27,1
0.5,5,1,5,1818796,0,1,96.69297297,1
0,16,6,4,1818796,1,0,106.5658824,1
,2,2,5,1818796,0,1,54.39333333,1
,6,2,5,1818796,0,1,118.5714286,1
,3,-3,1,1818796,0,1,121.5955556,1
,14,12,5,1818796,1,0,114.3771429,1
0,18,14,5,1818797,1,0,106.5651852,1
,15,15,5,1818797,0,1,96.51764706,1
0.847826087,10,4,1,1818797,0,1,107.649697,1
,0,0,5,1818797,0,1,99.25,1
,4,4,4,1818797,0,1,116.3,1
,0,0,1,1818797,0,1,119.39,1
,5,5,4,1818797,0,1,89.255,1
,8,0,5,1818797,0,1,96.69297297,1
,2,2,3,1818797,0,1,76.77333333,1
,0,0,5,1818797,0,1,95.135,1
,12,10,5,1818797,1,0,116.5875862,1
,10,6,5,1818797,0,1,74.455,1
,10,-4,5,1818797,0,1,98.46,1
0,0,0,3,1818797,0,1,142.86,1
,9,3,5,1818798,0,1,111.5833333,1
,5,5,5,1818798,0,1,88.47,1
,0,0,5,1818798,0,1,98.71,1
1,4,4,5,1818798,0,1,107.5466667,1
,0,0,3,1818798,0,1,142.66,1
,2,0,2,1818798,0,1,118.3527273,1
0.5,8,4,4,1818798,0,1,86.1,1
,1,1,5,1818798,0,1,90.82,1
,12,8,4,1818798,0,1,97.30571429,1
,0,0,5,1818798,0,1,58.21333333,1
,0,0,2,1818798,0,1,95.87,1
,4,4,3,1818799,0,1,81.18,1
0.463414634,12,0,1,1818799,0,1,91.14,1
,0,0,5,1818799,0,1,107.6,1
,0,0,1,1818799,0,1,122.18,1
,0,0,5,1818799,0,1,,1
1,0,0,3,1818799,0,1,113.52,1
,6,0,1,1818799,0,1,96.31142857,1
0.5,7,7,1,1818799,0,1,89.6475,1
,2,2,4,1818799,0,1,77.16666667,1
,5,-5,2,1818799,1,0,105.0611111,1
,11,9,5,1818799,0,1,84.12666667,1
0,0,0,3,1818799,0,1,109.075,1
,17,9,5,1818800,1,0,114.5051613,1
1,11,5,4,1818800,0,1,102.98,1
,9,9,5,1818800,0,0,71.91294118,1
1,4,2,2,1818800,0,0,98.83,1
,3,3,5,1818800,0,1,110.42,1
,2,2,4,1818800,0,1,,1
,9,3,5,1818800,0,1,114.8444444,1
0,20,6,5,1818800,0,0,51.86888889,1
,3,3,5,1818800,0,1,-236.36,1
,0,0,5,1818800,0,1,207.44,1
,11,11,5,1818800,0,1,110.1857143,1
1,5,5,5,1818800,0,0,100.8116667,1
,0,0,5,1818801,0,1,60.14,1
1,1,-1,3,1818801,0,0,88.20827586,1
,19,19,5,1818801,0,1,84.11454545,1
,3,3,5,1818801,0,1,59.94,1
1,4,4,2,1818801,0,1,107.66,1
,1,-1,5,1818801,0,1,98.35428571,1
,3,3,5,1818801,0,1,,1
,9,3,3,1818801,0,1,100.1128571,1
,1,1,5,1818802,0,1,97.68,1
0,1,1,1,1818802,0,1,135.0533333,1
,21,17,5,1818802,0,1,111.34875,1
,20,-4,5,1818802,0,1,100.576,1
,11,-1,5,1818802,0,1,106.405,1
,3,3,5,1818802,0,1,78.03,1
,4,4,5,1818802,0,1,113.54,1
,2,2,4,1818802,0,1,,1
0,8,-2,1,1818802,0,1,94.83272727,1
,3,3,5,1818802,0,1,83.36,1
0.6,0,0,5,1818802,0,1,99.83333333,1
1,20,16,5,4652,0,1,106.6248276,1
,3,3,5,4652,0,1,92.63,1
0,0,0,5,4652,0,1,171.96,1
,1,1,5,4652,0,1,103.0844444,1
,0,0,4,4652,0,1,136.98,1
,0,0,5,4652,0,1,201.56,1
1,0,0,5,4652,0,1,87.075,1
0.5,1,1,4,4653,0,1,79.06285714,1
0,5,-5,4,4653,0,1,107.63,1
,0,0,2,4653,0,1,81.15333333,1
,4,4,5,4653,0,1,92.83,1
,7,5,5,4653,0,1,113.48,1
,8,8,5,4653,0,1,105.6755556,1
1,61,27,5,4653,0,0,33.57707602,1
,0,0,3,4653,0,1,-467.28,1
,2,2,5,4653,0,1,123.2933333,1
1,2,2,5,4654,0,1,95.135,1
,5,5,5,4654,0,1,145.7,1
,3,3,5,4654,0,1,213.32,1
,0,0,5,4654,0,1,207.44,1
,0,0,4,4654,0,1,106.8114286,1
0,3,-3,2,4654,0,1,90.68222222,1
,4,4,4,4655,0,1,103.7066667,1
,2,-2,5,4655,0,1,,1
,0,0,4,4655,0,1,107.5466667,1
1,4,4,4,4655,0,1,100.23,1
,1,1,5,4655,0,1,89.92,1
,4,-4,1,4655,0,1,98.45043478,1
1,6,6,4,4655,0,1,92.9,1
,2,2,3,4655,0,1,92.91333333,1
1,3,3,3,4655,0,1,103.0844444,1
1,7,7,5,4655,0,1,103.1619048,1
,0,0,5,4655,0,1,,1
,3,3,5,4655,0,1,95.87,1
0.823529412,30,30,5,4655,0,0,122.1603704,1
,1,1,5,4655,0,1,30.68,1
,3,3,5,4655,0,1,131.16,1
,0,0,1,4655,0,1,113.51,1
,7,7,5,4655,0,1,88.04,1
,2,2,5,4655,0,1,107.56,1
,1,-1,1,4655,0,1,98.79333333,1
,4,2,5,4655,0,1,125.27,1
,2,2,5,4655,0,1,100.0057143,1
,2,2,3,4656,0,1,112.76,1
0,5,5,5,4656,0,1,116.0657143,1
,4,4,5,4656,0,1,88.24571429,1
,3,-3,2,4656,0,1,108.4628571,1
,2,2,5,4656,0,1,113.51,1
,1,-1,5,4656,0,1,105.62,1
,0,0,3,4656,0,1,,1
,11,-5,3,4656,0,1,110.1857143,1
,0,0,5,4656,0,1,195.68,1
,3,3,5,4656,0,1,,1
,0,0,4,4656,0,1,122.355,1
,0,0,5,4656,0,1,106.88,1
,6,6,5,4656,0,1,116.475,1
,0,0,5,4656,0,1,85.92,1
1,3,3,5,4656,0,1,131.1,1
,3,3,5,4656,0,1,,1
,11,11,4,4656,0,1,98.78341463,1
,0,0,4,4656,0,1,77.28,1
,0,0,5,4657,0,1,,1
0.7,5,5,5,4657,0,1,95.63047619,1
,3,3,5,4657,0,1,72.15,1
0.75,4,4,1,4657,0,1,92.54571429,1
,10,6,5,4657,0,1,90.85714286,1
,0,0,5,4657,0,1,36.42,1
,2,-2,1,4657,0,1,127.8257143,1
0,25,-5,1,4658,0,1,40.62356589,1
,3,3,5,4658,0,1,,1
1,36,14,3,4658,0,1,35.30657343,1
,3,3,5,4658,0,1,2.966666667,1
,1,1,4,4658,0,1,142.56,1
,3,3,4,4658,0,1,,1
,3,3,5,4658,0,1,125.27,1
,5,5,5,4658,0,1,119.14,1
1,7,-1,1,4658,0,1,93.6775,1
0,0,0,4,4658,0,1,91.8,1
,0,0,5,4658,0,1,207.44,1
,3,3,5,4658,0,1,74.34666667,1
0.75,4,-4,1,4658,0,1,89.03777778,1
0.814814815,44,40,5,4658,0,0,54.96304762,1
,0,0,2,4658,0,1,,1
,20,4,5,4658,0,1,92.8352381,1
,3,3,5,4658,0,1,92.52,1
,2,-2,1,4658,0,1,93.86,1
,7,7,3,4658,0,1,103.7266667,1
,6,4,5,4658,0,1,101.2563636,1
,2,2,4,4659,0,1,66.18666667,1
1,9,1,4,4659,0,1,92.14181818,1
,2,2,5,4659,0,1,98.12,1
,0,0,2,4659,0,1,112.96,1
,5,5,4,4659,0,1,123.2933333,1
,0,0,5,4659,0,1,142.86,1
,3,3,5,4659,0,1,201.56,1
,5,1,3,4659,0,1,118.3527273,1
1,4,2,5,4660,0,1,84.13333333,1
,0,0,5,4660,0,1,9.91,1
,3,3,5,4660,0,1,98.79333333,1
,3,1,5,4660,0,1,110.8307692,1
,6,6,5,4660,0,1,89.88,1
,0,0,5,4660,0,0,142.86,1
1,66,58,5,4660,0,1,28.09840909,1
0,3,3,1,4660,0,1,-160.7466667,1
,7,1,5,4660,0,1,101.0243478,1
,3,3,1,4660,0,1,78.08,1
1,18,14,5,4660,0,0,104.9357143,1
,3,3,5,4660,0,1,85.43,1
,0,0,1,4660,0,1,160.2,1
,3,-3,4,4660,0,1,125.22,1
,2,2,4,4661,0,1,125.22,1
,7,5,5,4661,0,1,122.355,1
0,3,3,4,4661,0,1,,1
,3,3,5,4661,0,1,178.04,1
,5,1,4,4661,0,1,121.3666667,1
1,12,0,5,4661,0,0,110.2321739,1
1,4,4,5,4661,0,1,68.30222222,1
,3,3,5,4661,0,1,95.78666667,1
,2,2,5,4661,0,1,107.64,1
,10,10,3,4661,0,1,84.94285714,1
1,4,4,5,4661,0,1,92.68545455,1
0,3,3,5,4661,0,1,30.04,1
,18,10,5,4661,0,1,100.616,1
,5,5,5,4661,0,1,98.3675,1
,0,0,5,4661,0,1,97.68,1
,7,-1,4,4661,0,1,99.07076923,1
1,18,2,3,4662,0,1,86.21964912,1
0,0,0,4,4662,0,1,,1
,5,1,1,4662,0,1,116.7107692,1
,7,5,3,4662,0,1,94.12571429,1
,3,3,5,4662,0,1,125.22,1
,6,6,5,4662,0,1,109.1375,1
,5,-1,5,4662,0,1,97.28190476,1
1,3,3,5,4662,0,0,100.6666667,1
,7,7,5,4662,0,1,78.68727273,1
1,5,5,5,4662,0,1,80.04,1
,0,0,5,4662,0,1,83.29142857,1
,9,9,5,4662,0,1,102.1914286,1
,2,-2,5,4662,0,1,104.3355556,1
1,10,10,5,4663,0,1,91.80363636,1
0,21,7,4,4663,0,1,108.3155556,1
,3,3,5,4663,0,1,-7.98,1
,0,0,5,4663,0,1,92.955,1
1,8,4,2,4663,0,1,106.19,1
0,3,3,5,4663,0,1,,1
,3,3,5,4663,0,1,,1
,0,0,5,4663,0,1,95.88,1
,0,0,4,4663,0,1,90.82285714,1
,2,2,1,4663,0,1,98.79333333,1
1,8,2,1,4663,0,1,110.8157143,1
,2,2,5,4663,0,1,46.91,1
,0,0,5,4664,0,1,183.92,1
,3,3,5,4664,0,1,125.22,1
1,3,3,5,4664,0,1,148.74,1
1,0,0,1,4664,0,1,135.0533333,1
,0,0,4,4664,0,1,95.05142857,1
,1,-1,5,4664,0,1,142.86,1
,2,2,5,4664,0,1,107.64,1
,3,3,5,4664,0,0,116.4333333,1
,8,8,5,4664,0,1,89.92,1
,9,9,5,4664,0,1,99.79555556,1
,0,0,5,4664,0,1,118.84,1
,5,1,5,4664,0,1,119.42,1
1,3,3,5,4664,0,1,,1
,5,1,3,4665,0,1,116.475,1
,7,5,5,4665,0,1,112.775,1
0,45,35,5,4665,0,1,25.19957219,1
,0,0,2,4665,0,1,-224.1,1
,5,3,5,4665,0,1,103.7466667,1
0.166666667,0,0,1,4665,0,1,66.27,1
,0,0,5,4665,0,1,201.56,1
,0,0,5,4665,0,1,107.64,1
,3,3,5,4665,0,1,102.5828571,1
1,3,3,4,4665,0,1,183.92,1
0,9,-3,5,4665,0,1,94.23285714,1
,2,2,5,4666,0,1,66.2,1
,2,2,5,4666,0,1,106.8114286,1
,0,0,4,4666,0,1,95.78666667,1
1,3,-3,1,4666,0,0,123.3155556,1
,0,0,5,4666,0,1,,1
,9,9,5,4666,0,1,100.8116667,1
1,3,3,5,4666,0,1,79.78857143,1
,1,1,3,4666,0,1,101.78,1
1,0,0,5,4666,0,1,78.16,1
,0,0,1,4667,0,1,72.16,1
0.909090909,6,0,3,4667,0,1,115.6618182,1
,3,3,4,4667,0,1,101.76,1
0.666666667,11,3,4,4667,0,1,109.2203509,1
,0,0,5,4667,0,1,-100.32,1
,10,10,5,4667,0,1,107.3904762,1
,0,0,5,4667,0,1,89.24,1
,2,-2,5,4667,0,1,100.4353846,1
,0,0,4,4667,0,1,79.06,1
1,4,0,4,4667,0,1,98.42571429,1
,3,3,5,4667,0,1,91.31,1
,5,1,5,4667,0,1,107.66,1
,0,0,4,4667,0,1,90.91384615,1
,1,1,5,4667,0,1,148.44,1
,0,0,5,4667,0,1,172.16,1
,11,11,5,4667,0,1,93.49294118,1
,7,7,5,4668,0,1,74.88,1
,7,5,2,4668,0,1,107.62,1
0,6,2,1,4668,0,1,112.5577778,1
,0,0,5,4668,0,1,92.58,1
,3,3,5,4668,0,1,148.44,1
1,0,0,3,4668,0,1,119.4,1
,7,7,1,4668,0,1,97.86666667,1
,3,3,5,4668,0,1,,1
,4,0,4,4668,0,1,107.66,1
0.8,8,-2,5,4668,0,1,105.0518519,1
,5,5,5,4668,0,1,94.12571429,1
,0,0,1,4668,0,1,104.54,1
,0,0,4,4669,0,1,,1
0.75,12,2,1,4669,0,1,111.7282759,1
,6,-6,1,4669,0,1,119.315,1
,0,0,2,4669,0,0,148.44,1
1,17,5,5,4669,0,1,110.615,1
,5,5,2,4669,0,1,69,1
,6,-2,3,4669,0,1,100.7127273,1
0,4,-4,1,4669,0,1,84.035,1
,2,2,5,4669,0,1,154.32,1
0.75,7,1,5,4669,0,1,92.62235294,1
,3,-1,4,4669,0,1,93.88,1
,1,-1,2,4669,0,1,79.55,1
,0,0,3,4669,0,1,,1
0,11,3,5,4670,0,1,99.47757576,1
,0,0,5,4670,0,1,48.43,1
,4,4,5,4670,0,1,178.04,1
0,7,-3,1,4670,0,1,89.05166667,1
1,0,0,5,4670,0,1,66.27,1
1,0,0,3,4670,0,1,171.96,1
,0,0,5,4670,0,1,125.22,1
,3,3,5,4670,0,1,97.68,1
,0,0,5,4670,0,1,109.1166667,1
1,4,4,3,4670,0,1,100.7977778,1
1,5,5,4,4670,0,1,87.85428571,1
,0,0,5,4670,0,1,,1
,0,0,5,4670,0,1,178.04,1
,2,2,5,4670,0,1,95.88,1
1,3,3,5,4670,0,1,,1
0.8,13,-11,1,4671,0,1,97.87666667,1
,3,3,5,4671,0,1,-22.78,1
0.666666667,6,6,5,4671,0,1,97.84666667,1
1,3,3,5,4671,0,1,124.72,1
,3,3,5,4671,0,1,,1
,2,2,2,4671,0,1,110.8307692,1
,3,3,5,4671,0,1,100.23,1
,0,0,5,4671,0,1,178.04,1
,2,2,5,4671,0,1,129.1733333,1
1,3,3,5,4671,0,1,142.56,1
,0,0,5,4671,0,1,,1
0,13,7,4,4672,0,1,110.7694737,1
,4,4,4,4672,0,1,59.655,1
,2,2,5,4672,0,1,101.72,1
0,6,6,5,4672,0,1,106.5927273,1
,3,3,5,4672,0,1,110.1142857,1
,4,4,5,4672,0,1,92.94,1
,0,0,4,4672,0,1,82.1,1
0.75,10,2,1,4672,0,1,104.148,1
,5,1,5,4673,0,1,82.9075,1
,0,0,3,4673,0,1,77.94666667,1
,6,6,4,4673,0,1,87.06,1
,5,5,5,4673,0,1,93.6775,1
,3,3,4,4673,0,1,114.8034783,1
1,3,3,5,4673,0,1,93.37,1
,3,3,5,4673,0,1,,1
,2,2,5,4673,0,1,129.1733333,1
1,15,15,5,4673,0,1,93.41692308,1
,3,3,5,4673,0,1,84.45846154,1
,0,0,2,4673,0,1,114.9966667,1
