,HR,emotion_total,emotion_polarity,rating,time_difference,vine,verified_purchase,CLI,group
157,,6,6,3,4566,0,1,97.20444444,1
158,,2,2,4,4566,0,1,95.84,1
159,,0,0,5,4566,0,1,201.56,1
160,,3,3,5,4566,0,1,,1
161,,3,3,5,4566,0,1,113.51,1
162,0.0,13,5,3,4566,0,1,90.33894737,1
163,0.0,5,-1,3,4566,0,1,109.2688889,1
164,,17,3,4,4566,1,0,119.072,1
165,,2,2,4,4566,0,1,,1
166,,3,3,5,4566,0,1,178.04,1
167,,1,1,4,4566,0,1,98.835,1
168,,3,3,5,4566,0,1,103.56,1
169,,1,1,5,4566,0,1,123.29333329999999,1
170,,2,2,5,4566,0,1,142.86,1
171,0.5,4,-2,1,4566,0,1,86.66571429,1
172,0.8888888890000001,25,21,3,4566,0,1,64.60929293,1
173,,5,1,1,4566,0,1,70.16,1
174,1.0,6,0,2,4566,0,1,89.98,1
175,,6,6,4,4567,0,1,88.03555556,1
176,,7,7,5,4567,0,1,103.7066667,1
177,,6,0,3,4567,0,1,104.7,1
178,0.666666667,19,7,5,4567,0,1,67.51772727,1
179,1.0,1,-1,1,4567,0,1,89.8,1
180,0.0,10,10,5,4567,1,0,103.0933333,1
181,0.0,19,13,5,4567,1,0,110.575,1
182,0.0,3,3,5,4567,0,1,67.59,1
183,,35,27,5,4568,1,0,59.94627451,1
184,0.666666667,25,25,5,4568,1,0,51.70524272,1
185,1.0,51,41,4,4568,1,0,56.37257143,1
186,1.0,4,2,2,4568,0,1,-36.46666667,1
187,1.0,2,2,4,4568,0,1,91.06588235,1
188,,0,0,5,4568,0,1,-11.52,1
189,0.7307692309999999,20,18,5,4568,1,0,61.69010526,1
190,,0,0,5,4568,0,1,66.16,1
191,,0,0,5,4568,0,1,83.7675,1
192,,0,0,5,4568,0,1,118.64,1
193,,0,0,4,4568,0,1,,1
194,0.5,16,8,5,4568,0,1,55.04076923,1
195,1.0,3,3,5,4568,0,1,7.04,1
196,,2,2,5,4569,0,1,89.96307692,1
197,,2,2,3,4569,0,1,78.12,1
198,,24,24,5,4569,0,1,80.37761905,1
199,,2,2,5,4569,0,1,-19.69,1
200,,2,2,4,4569,0,1,102.5828571,1
201,,0,0,5,4569,0,1,,1
202,1.0,4,4,2,4569,0,1,92.9,1
203,,0,0,5,4569,0,1,127.08,1
204,,0,0,5,4569,0,1,95.78666667,1
205,1.0,5,5,5,4569,1,0,111.4670968,1
206,,10,10,5,4570,1,0,98.06875,1
207,,4,4,5,4570,0,1,96.78333333,1
208,,3,1,5,4570,0,1,97.22,1
209,1.0,2,2,5,4570,0,1,88.92666667,1
210,0.7,29,25,3,4570,1,0,9.108817204,1
211,0.5,7,5,3,4570,1,0,61.80484848,1
212,,0,0,5,4570,0,1,83.09142857,1
213,0.5,64,60,5,4570,0,0,26.21439024,1
214,,2,2,5,4570,0,1,-129.17,1
215,,0,0,5,4570,0,1,171.96,1
216,1.0,27,19,4,4570,0,1,110.54341459999999,1
217,,3,3,5,4570,0,1,66.08,1
218,,33,25,5,4571,0,1,83.68054054,1
219,1.0,4,4,4,4571,0,1,29.72666667,1
220,,7,5,5,4571,0,1,102.1914286,1
221,0.666666667,9,3,3,4571,0,1,107.64428570000001,1
222,,6,-4,1,4571,0,1,107.59666670000001,1
223,0.25925925899999996,3,3,1,4571,0,1,66.28,1
224,0.0,12,12,5,4571,1,0,109.0027273,1
225,,0,0,4,4571,0,1,,1
226,,7,3,5,4571,0,1,97.84666667,1
227,,2,-2,1,4571,0,1,83.7675,1
228,,7,5,3,4571,0,1,65.52285714,1
229,,6,6,5,4571,0,1,95.20470588,1
230,,4,4,5,4572,0,1,107.56,1
231,,0,0,5,4572,0,1,177.84,1
232,0.0,0,0,4,4572,0,1,178.04,1
233,,0,0,3,4572,0,1,104.7,1
234,,0,0,5,4572,0,1,85.92,1
235,,0,0,5,4572,0,1,105.65333329999999,1
236,,3,3,4,4572,0,1,121.36666670000001,1
237,,3,3,4,4572,0,1,72.24,1
238,,3,3,5,4572,0,1,136.98,1
239,0.833333333,8,6,3,4572,0,1,99.37294118,1
240,,0,0,5,4572,0,1,49.46285714,1
241,,2,2,5,4572,0,1,136.98,1
242,,6,6,4,4572,0,1,99.07076923,1
243,,8,8,5,4572,0,1,111.5,1
244,,3,3,5,4572,0,1,119.36,1
245,,4,4,5,4572,0,1,116.35,1
246,,1,-1,2,4572,0,1,140.93333330000002,1
247,,27,23,5,4572,1,0,78.57897436,1
248,,6,6,5,4572,0,0,54.46,1
249,1.0,8,8,2,4572,0,1,94.38814815,1
250,1.0,12,12,5,4572,0,1,92.08285714,1
251,,7,7,5,4572,0,1,70.14,1
252,,3,3,4,4572,0,1,104.59,1
253,,1,1,4,4573,0,1,105.65333329999999,1
254,,0,0,5,4573,0,1,104.6733333,1
255,,5,5,5,4573,0,1,129.1733333,1
256,0.0,10,6,4,4573,1,0,103.8418605,1
257,,5,5,5,4573,0,1,103.66666670000001,1
258,,12,8,4,4573,0,1,85.87176471,1
259,0.0,7,3,2,4573,0,1,85.74,1
260,,3,3,5,4573,0,1,,1
261,,0,0,5,4573,0,1,172.16,1
262,,5,5,5,4573,0,1,107.64,1
263,,2,2,4,4573,0,1,92.91333333,1
264,,3,3,5,4573,0,1,101.015,1
265,1.0,2,2,5,4573,0,1,80.76,1
266,,0,0,5,4573,0,1,177.84,1
267,,0,0,5,4573,0,1,195.68,1
268,1.0,12,12,5,1818794,0,1,108.32222220000001,1
269,,3,3,4,1818794,0,1,83.09142857,1
270,,0,0,5,1818794,0,1,116.3,1
271,,0,0,5,1818794,0,1,178.04,1
272,,5,5,5,1818794,0,1,113.54,1
273,,1,-1,5,1818794,0,1,107.64,1
274,1.0,3,-3,1,1818794,0,1,101.78,1
275,,7,7,5,1818794,0,1,92.68545455,1
276,,4,2,5,1818794,0,1,103.1,1
277,,2,2,3,1818794,0,1,85.02333333,1
278,,2,2,5,1818794,0,1,80.82,1
279,1.0,14,12,5,1818794,0,1,106.49600000000001,1
280,,6,0,2,1818795,0,1,91.94666667,1
281,0.0,7,7,4,1818795,1,0,98.15846154,1
282,1.0,0,0,1,1818795,0,1,84.74666667,1
283,1.0,2,2,3,1818795,0,1,95.33090909,1
284,,0,0,1,1818795,0,1,124.72,1
285,0.0,13,13,5,1818795,1,0,89.95671233,1
286,,1,1,5,1818795,0,1,79.14333333,1
287,,2,2,5,1818795,0,1,95.33090909,1
288,,7,5,5,1818795,0,1,92.81142857,1
289,,3,3,5,1818795,0,1,118.84,1
290,,3,3,5,1818796,0,1,114.84444440000001,1
291,1.0,14,6,2,1818796,0,1,114.8827273,1
292,,0,0,5,1818796,0,1,-64.84,1
293,,3,3,4,1818796,0,1,93.19076923,1
294,,6,6,5,1818796,0,1,104.71,1
295,,4,2,5,1818796,0,1,104.59,1
296,1.0,0,0,5,1818796,0,1,95.88,1
297,,8,8,5,1818796,0,1,95.87,1
298,,0,0,4,1818796,0,1,84.08,1
299,,5,1,2,1818796,0,1,84.14,1
300,,0,0,5,1818796,0,1,125.18666670000002,1
301,,0,0,5,1818796,0,1,154.32,1
302,,16,16,5,1818796,1,0,107.1363636,1
303,,2,-2,2,1818796,0,1,100.27,1
304,0.5,5,1,5,1818796,0,1,96.69297297,1
305,0.0,16,6,4,1818796,1,0,106.5658824,1
306,,2,2,5,1818796,0,1,54.39333333,1
307,,6,2,5,1818796,0,1,118.57142859999999,1
308,,3,-3,1,1818796,0,1,121.59555559999998,1
309,,14,12,5,1818796,1,0,114.3771429,1
310,0.0,18,14,5,1818797,1,0,106.5651852,1
311,,15,15,5,1818797,0,1,96.51764706,1
312,0.8478260870000001,10,4,1,1818797,0,1,107.649697,1
313,,0,0,5,1818797,0,1,99.25,1
314,,4,4,4,1818797,0,1,116.3,1
315,,0,0,1,1818797,0,1,119.39,1
316,,5,5,4,1818797,0,1,89.255,1
317,,8,0,5,1818797,0,1,96.69297297,1
318,,2,2,3,1818797,0,1,76.77333333,1
319,,0,0,5,1818797,0,1,95.135,1
320,,12,10,5,1818797,1,0,116.58758619999999,1
321,,10,6,5,1818797,0,1,74.455,1
322,,10,-4,5,1818797,0,1,98.46,1
323,0.0,0,0,3,1818797,0,1,142.86,1
324,,9,3,5,1818798,0,1,111.58333329999999,1
325,,5,5,5,1818798,0,1,88.47,1
326,,0,0,5,1818798,0,1,98.71,1
327,1.0,4,4,5,1818798,0,1,107.54666670000002,1
328,,0,0,3,1818798,0,1,142.66,1
329,,2,0,2,1818798,0,1,118.3527273,1
330,0.5,8,4,4,1818798,0,1,86.1,1
331,,1,1,5,1818798,0,1,90.82,1
332,,12,8,4,1818798,0,1,97.30571429,1
333,,0,0,5,1818798,0,1,58.21333333,1
334,,0,0,2,1818798,0,1,95.87,1
335,,4,4,3,1818799,0,1,81.18,1
336,0.463414634,12,0,1,1818799,0,1,91.14,1
337,,0,0,5,1818799,0,1,107.6,1
338,,0,0,1,1818799,0,1,122.18,1
339,,0,0,5,1818799,0,1,,1
340,1.0,0,0,3,1818799,0,1,113.52,1
341,,6,0,1,1818799,0,1,96.31142857,1
342,0.5,7,7,1,1818799,0,1,89.6475,1
343,,2,2,4,1818799,0,1,77.16666667,1
344,,5,-5,2,1818799,1,0,105.0611111,1
345,,11,9,5,1818799,0,1,84.12666667,1
346,0.0,0,0,3,1818799,0,1,109.075,1
347,,17,9,5,1818800,1,0,114.50516129999998,1
348,1.0,11,5,4,1818800,0,1,102.98,1
349,,9,9,5,1818800,0,0,71.91294118,1
350,1.0,4,2,2,1818800,0,0,98.83,1
351,,3,3,5,1818800,0,1,110.42,1
352,,2,2,4,1818800,0,1,,1
353,,9,3,5,1818800,0,1,114.84444440000001,1
354,0.0,20,6,5,1818800,0,0,51.86888889,1
355,,3,3,5,1818800,0,1,-236.36,1
356,,0,0,5,1818800,0,1,207.44,1
357,,11,11,5,1818800,0,1,110.18571429999999,1
358,1.0,5,5,5,1818800,0,0,100.8116667,1
359,,0,0,5,1818801,0,1,60.14,1
360,1.0,1,-1,3,1818801,0,0,88.20827586,1
361,,19,19,5,1818801,0,1,84.11454545,1
362,,3,3,5,1818801,0,1,59.94,1
363,1.0,4,4,2,1818801,0,1,107.66,1
364,,1,-1,5,1818801,0,1,98.35428571,1
365,,3,3,5,1818801,0,1,,1
366,,9,3,3,1818801,0,1,100.1128571,1
367,,1,1,5,1818802,0,1,97.68,1
368,0.0,1,1,1,1818802,0,1,135.05333330000002,1
369,,21,17,5,1818802,0,1,111.34875,1
370,,20,-4,5,1818802,0,1,100.57600000000001,1
371,,11,-1,5,1818802,0,1,106.405,1
372,,3,3,5,1818802,0,1,78.03,1
373,,4,4,5,1818802,0,1,113.54,1
374,,2,2,4,1818802,0,1,,1
375,0.0,8,-2,1,1818802,0,1,94.83272727,1
376,,3,3,5,1818802,0,1,83.36,1
377,0.6,0,0,5,1818802,0,1,99.83333333,1
378,1.0,20,16,5,4652,0,1,106.62482759999999,1
379,,3,3,5,4652,0,1,92.63,1
380,0.0,0,0,5,4652,0,1,171.96,1
381,,1,1,5,4652,0,1,103.0844444,1
382,,0,0,4,4652,0,1,136.98,1
383,,0,0,5,4652,0,1,201.56,1
384,1.0,0,0,5,4652,0,1,87.075,1
385,0.5,1,1,4,4653,0,1,79.06285714,1
386,0.0,5,-5,4,4653,0,1,107.63,1
387,,0,0,2,4653,0,1,81.15333333,1
388,,4,4,5,4653,0,1,92.83,1
389,,7,5,5,4653,0,1,113.48,1
390,,8,8,5,4653,0,1,105.67555559999998,1
391,1.0,61,27,5,4653,0,0,33.57707602,1
392,,0,0,3,4653,0,1,-467.28,1
393,,2,2,5,4653,0,1,123.29333329999999,1
394,1.0,2,2,5,4654,0,1,95.135,1
395,,5,5,5,4654,0,1,145.7,1
396,,3,3,5,4654,0,1,213.32,1
397,,0,0,5,4654,0,1,207.44,1
398,,0,0,4,4654,0,1,106.81142859999999,1
399,0.0,3,-3,2,4654,0,1,90.68222222,1
400,,4,4,4,4655,0,1,103.7066667,1
401,,2,-2,5,4655,0,1,,1
402,,0,0,4,4655,0,1,107.54666670000002,1
403,1.0,4,4,4,4655,0,1,100.23,1
404,,1,1,5,4655,0,1,89.92,1
405,,4,-4,1,4655,0,1,98.45043478,1
406,1.0,6,6,4,4655,0,1,92.9,1
407,,2,2,3,4655,0,1,92.91333333,1
408,1.0,3,3,3,4655,0,1,103.0844444,1
409,1.0,7,7,5,4655,0,1,103.1619048,1
410,,0,0,5,4655,0,1,,1
411,,3,3,5,4655,0,1,95.87,1
412,0.8235294120000001,30,30,5,4655,0,0,122.16037040000002,1
413,,1,1,5,4655,0,1,30.68,1
414,,3,3,5,4655,0,1,131.16,1
415,,0,0,1,4655,0,1,113.51,1
416,,7,7,5,4655,0,1,88.04,1
417,,2,2,5,4655,0,1,107.56,1
418,,1,-1,1,4655,0,1,98.79333333,1
419,,4,2,5,4655,0,1,125.27,1
420,,2,2,5,4655,0,1,100.0057143,1
421,,2,2,3,4656,0,1,112.76,1
422,0.0,5,5,5,4656,0,1,116.0657143,1
423,,4,4,5,4656,0,1,88.24571429,1
424,,3,-3,2,4656,0,1,108.4628571,1
425,,2,2,5,4656,0,1,113.51,1
426,,1,-1,5,4656,0,1,105.62,1
427,,0,0,3,4656,0,1,,1
428,,11,-5,3,4656,0,1,110.18571429999999,1
429,,0,0,5,4656,0,1,195.68,1
430,,3,3,5,4656,0,1,,1
431,,0,0,4,4656,0,1,122.355,1
432,,0,0,5,4656,0,1,106.88,1
433,,6,6,5,4656,0,1,116.475,1
434,,0,0,5,4656,0,1,85.92,1
435,1.0,3,3,5,4656,0,1,131.1,1
436,,3,3,5,4656,0,1,,1
437,,11,11,4,4656,0,1,98.78341463,1
438,,0,0,4,4656,0,1,77.28,1
439,,0,0,5,4657,0,1,,1
440,0.7,5,5,5,4657,0,1,95.63047619,1
441,,3,3,5,4657,0,1,72.15,1
442,0.75,4,4,1,4657,0,1,92.54571429,1
443,,10,6,5,4657,0,1,90.85714286,1
444,,0,0,5,4657,0,1,36.42,1
445,,2,-2,1,4657,0,1,127.82571429999999,1
446,0.0,25,-5,1,4658,0,1,40.62356589,1
447,,3,3,5,4658,0,1,,1
448,1.0,36,14,3,4658,0,1,35.30657343,1
449,,3,3,5,4658,0,1,2.9666666669999997,1
450,,1,1,4,4658,0,1,142.56,1
451,,3,3,4,4658,0,1,,1
452,,3,3,5,4658,0,1,125.27,1
453,,5,5,5,4658,0,1,119.14,1
454,1.0,7,-1,1,4658,0,1,93.6775,1
455,0.0,0,0,4,4658,0,1,91.8,1
456,,0,0,5,4658,0,1,207.44,1
457,,3,3,5,4658,0,1,74.34666667,1
458,0.75,4,-4,1,4658,0,1,89.03777778,1
459,0.814814815,44,40,5,4658,0,0,54.96304762,1
460,,0,0,2,4658,0,1,,1
461,,20,4,5,4658,0,1,92.8352381,1
462,,3,3,5,4658,0,1,92.52,1
463,,2,-2,1,4658,0,1,93.86,1
464,,7,7,3,4658,0,1,103.7266667,1
465,,6,4,5,4658,0,1,101.2563636,1
466,,2,2,4,4659,0,1,66.18666667,1
467,1.0,9,1,4,4659,0,1,92.14181818,1
468,,2,2,5,4659,0,1,98.12,1
469,,0,0,2,4659,0,1,112.96,1
470,,5,5,4,4659,0,1,123.29333329999999,1
471,,0,0,5,4659,0,1,142.86,1
472,,3,3,5,4659,0,1,201.56,1
473,,5,1,3,4659,0,1,118.3527273,1
474,1.0,4,2,5,4660,0,1,84.13333333,1
475,,0,0,5,4660,0,1,9.91,1
476,,3,3,5,4660,0,1,98.79333333,1
477,,3,1,5,4660,0,1,110.8307692,1
478,,6,6,5,4660,0,1,89.88,1
479,,0,0,5,4660,0,0,142.86,1
480,1.0,66,58,5,4660,0,1,28.09840909,1
481,0.0,3,3,1,4660,0,1,-160.7466667,1
482,,7,1,5,4660,0,1,101.0243478,1
483,,3,3,1,4660,0,1,78.08,1
484,1.0,18,14,5,4660,0,0,104.93571429999999,1
485,,3,3,5,4660,0,1,85.43,1
486,,0,0,1,4660,0,1,160.2,1
487,,3,-3,4,4660,0,1,125.22,1
488,,2,2,4,4661,0,1,125.22,1
489,,7,5,5,4661,0,1,122.355,1
490,0.0,3,3,4,4661,0,1,,1
491,,3,3,5,4661,0,1,178.04,1
492,,5,1,4,4661,0,1,121.36666670000001,1
493,1.0,12,0,5,4661,0,0,110.2321739,1
494,1.0,4,4,5,4661,0,1,68.30222222,1
495,,3,3,5,4661,0,1,95.78666667,1
496,,2,2,5,4661,0,1,107.64,1
497,,10,10,3,4661,0,1,84.94285714,1
498,1.0,4,4,5,4661,0,1,92.68545455,1
499,0.0,3,3,5,4661,0,1,30.04,1
500,,18,10,5,4661,0,1,100.616,1
501,,5,5,5,4661,0,1,98.3675,1
502,,0,0,5,4661,0,1,97.68,1
503,,7,-1,4,4661,0,1,99.07076923,1
504,1.0,18,2,3,4662,0,1,86.21964912,1
505,0.0,0,0,4,4662,0,1,,1
506,,5,1,1,4662,0,1,116.7107692,1
507,,7,5,3,4662,0,1,94.12571429,1
508,,3,3,5,4662,0,1,125.22,1
509,,6,6,5,4662,0,1,109.1375,1
510,,5,-1,5,4662,0,1,97.28190476,1
511,1.0,3,3,5,4662,0,0,100.66666670000001,1
512,,7,7,5,4662,0,1,78.68727273,1
513,1.0,5,5,5,4662,0,1,80.04,1
514,,0,0,5,4662,0,1,83.29142857,1
515,,9,9,5,4662,0,1,102.1914286,1
516,,2,-2,5,4662,0,1,104.33555559999999,1
517,1.0,10,10,5,4663,0,1,91.80363636,1
518,0.0,21,7,4,4663,0,1,108.31555559999998,1
519,,3,3,5,4663,0,1,-7.98,1
520,,0,0,5,4663,0,1,92.955,1
521,1.0,8,4,2,4663,0,1,106.19,1
522,0.0,3,3,5,4663,0,1,,1
523,,3,3,5,4663,0,1,,1
524,,0,0,5,4663,0,1,95.88,1
525,,0,0,4,4663,0,1,90.82285714,1
526,,2,2,1,4663,0,1,98.79333333,1
527,1.0,8,2,1,4663,0,1,110.8157143,1
528,,2,2,5,4663,0,1,46.91,1
529,,0,0,5,4664,0,1,183.92,1
530,,3,3,5,4664,0,1,125.22,1
531,1.0,3,3,5,4664,0,1,148.74,1
532,1.0,0,0,1,4664,0,1,135.05333330000002,1
533,,0,0,4,4664,0,1,95.05142857,1
534,,1,-1,5,4664,0,1,142.86,1
535,,2,2,5,4664,0,1,107.64,1
536,,3,3,5,4664,0,0,116.43333329999999,1
537,,8,8,5,4664,0,1,89.92,1
538,,9,9,5,4664,0,1,99.79555556,1
539,,0,0,5,4664,0,1,118.84,1
540,,5,1,5,4664,0,1,119.42,1
541,1.0,3,3,5,4664,0,1,,1
542,,5,1,3,4665,0,1,116.475,1
543,,7,5,5,4665,0,1,112.775,1
544,0.0,45,35,5,4665,0,1,25.19957219,1
545,,0,0,2,4665,0,1,-224.1,1
546,,5,3,5,4665,0,1,103.7466667,1
547,0.166666667,0,0,1,4665,0,1,66.27,1
548,,0,0,5,4665,0,1,201.56,1
549,,0,0,5,4665,0,1,107.64,1
550,,3,3,5,4665,0,1,102.5828571,1
551,1.0,3,3,4,4665,0,1,183.92,1
552,0.0,9,-3,5,4665,0,1,94.23285714,1
553,,2,2,5,4666,0,1,66.2,1
554,,2,2,5,4666,0,1,106.81142859999999,1
555,,0,0,4,4666,0,1,95.78666667,1
556,1.0,3,-3,1,4666,0,0,123.31555559999998,1
557,,0,0,5,4666,0,1,,1
558,,9,9,5,4666,0,1,100.8116667,1
559,1.0,3,3,5,4666,0,1,79.78857143,1
560,,1,1,3,4666,0,1,101.78,1
561,1.0,0,0,5,4666,0,1,78.16,1
562,,0,0,1,4667,0,1,72.16,1
563,0.9090909090000001,6,0,3,4667,0,1,115.6618182,1
564,,3,3,4,4667,0,1,101.76,1
565,0.666666667,11,3,4,4667,0,1,109.22035090000001,1
566,,0,0,5,4667,0,1,-100.32,1
567,,10,10,5,4667,0,1,107.39047620000001,1
568,,0,0,5,4667,0,1,89.24,1
569,,2,-2,5,4667,0,1,100.43538459999999,1
570,,0,0,4,4667,0,1,79.06,1
571,1.0,4,0,4,4667,0,1,98.42571429,1
572,,3,3,5,4667,0,1,91.31,1
573,,5,1,5,4667,0,1,107.66,1
